CustomerID,FirstName,LastName,Email,Phone,Address,City,State,Country,ZipCode
59aee371-39e0-43c7-a4bc-e6f2330f7bf3,Rodney,Berry,samantha51@example.net,001-649-878-9465x24239,"007 Katherine Dale
East Christopher, OR 79915",New Elizabethhaven,Washington,Isle of Man,08412
3c549fcf-5ba0-4dd4-a1a6-29e2566feb6b,Justin,Boyer,kaitlinsandoval@example.net,376-223-5746x2930,"270 Holland Route
Dianemouth, NV 78667",Jenniferland,Alaska,Ireland,86193
5afc93b2-43bb-47c2-8680-623fc1240a1c,Lisa,Gomez,valentinejuan@example.org,7894881712,"2717 Guzman Meadow
South David, ID 96889",South Meagan,Texas,Pitcairn Islands,44019
de9fd815-5e9c-4cf5-ae7f-d64a2d8020fa,David,Johnson,tross@example.com,001-566-930-7741,"031 Robinson Walks Suite 551
New Jessica, GA 59636",Samanthaland,Minnesota,Ecuador,68897
8b314800-1909-4cfa-88cb-90e25a01eabc,Pamela,Graves,david97@example.org,+1-414-700-9943x728,"077 Jesse Squares
Antonioton, CO 31661",South Sherri,North Dakota,Venezuela,45708
51e360b6-34ce-4f66-838c-cefe99289d9e,Bradley,Davidson,suttonjames@example.net,(805)543-8671x97066,"589 Byrd Port
Port Victoriachester, MT 04790",East Melissa,New Hampshire,Israel,46394
7b9209eb-facf-4ed5-a817-6a3386daae3d,David,Brown,hcruz@example.com,(465)388-0937x4831,"62752 Jacqueline Dale Apt. 929
North Noah, TN 03064",North Guy,Florida,Guam,38900
610d9453-3cbe-484f-bee4-c155acbd6c86,Brian,Jensen,emilyperez@example.com,(820)922-1267x568,"132 James Mountain
Millerberg, WI 50839",South Lori,Arkansas,British Virgin Islands,18642
aded2829-08a5-42a8-9646-0bae9889be56,Jennifer,Boyle,whitenicolas@example.org,3056758209,"4123 Cohen Drive Suite 484
Henryview, UT 26652",Nicholefurt,North Dakota,Guatemala,48484
cfe6c8c0-5120-4e0d-b949-6981fb5af3b7,Holly,Blackwell,zproctor@example.com,324-501-4417x49537,"65927 Rice Club Apt. 850
Wilsonmouth, NJ 56805",Richhaven,North Dakota,Taiwan,49476
